Assignment Completion Status (%),Avg Assignment Grade (%),Avg Submission Delay (Days),Quiz/Test Avg Grade (%),Virtual Class Attendance (%),Adherence to Deadlines (%),Final Grade (Target)
95.0,88.0,0.5,85.0,90.0,92.0,90.0
85.0,75.0,2.0,70.0,85.0,75.0,78.0
70.0,65.0,5.0,60.0,60.0,60.0,65.0
100.0,95.0,0.0,90.0,100.0,100.0,95.0
90.0,80.0,1.0,75.0,92.0,88.0,88.0
80.0,70.0,3.0,65.0,78.0,70.0,72.0
60.0,55.0,4.5,50.0,65.0,58.0,60.0
95.0,85.0,0.3,80.0,95.0,93.0,92.0
75.0,72.0,2.5,68.0,80.0,78.0,75.0
85.0,77.0,1.8,75.0,88.0,85.0,83.0
50.0,45.0,6.0,40.0,50.0,52.0,50.0
100.0,90.0,0.0,92.0,100.0,100.0,97.0
85.0,78.0,1.5,73.0,90.0,88.0,85.0
65.0,60.0,4.0,58.0,70.0,65.0,68.0
92.0,85.0,0.7,87.0,92.0,95.0,90.0
78.0,68.0,2.7,65.0,82.0,80.0,76.0
45.0,42.0,5.5,38.0,50.0,47.0,45.0
95.0,87.0,0.4,88.0,98.0,96.0,93.0
72.0,70.0,3.0,67.0,78.0,75.0,70.0
55.0,50.0,5.0,45.0,58.0,60.0,58.0
80.0,75.0,1.5,72.0,85.0,82.0,80.0
90.0,85.0,0.8,83.0,92.0,94.0,91.0
88.0,82.0,1.0,80.0,90.0,88.0,85.0
68.0,65.0,3.5,60.0,70.0,68.0,67.0
78.0,70.0,2.3,67.0,82.0,80.0,74.0
45.0,40.0,6.0,40.0,50.0,55.0,50.0
100.0,95.0,0.0,95.0,100.0,100.0,98.0
85.0,80.0,1.2,75.0,88.0,85.0,84.0
60.0,55.0,4.5,50.0,65.0,58.0,62.0
92.0,88.0,0.6,85.0,94.0,96.0,91.0
55.0,52.0,5.2,45.0,60.0,58.0,55.0
98.0,90.0,0.2,90.0,100.0,98.0,95.0
72.0,68.0,2.8,65.0,82.0,80.0,75.0
88.0,82.0,1.0,80.0,90.0,92.0,87.0
78.0,70.0,2.5,68.0,85.0,82.0,80.0
95.0,90.0,0.3,88.0,98.0,95.0,93.0
85.0,78.0,1.7,72.0,88.0,85.0,82.0
65.0,62.0,4.0,58.0,70.0,68.0,65.0
92.0,85.0,0.7,87.0,92.0,95.0,90.0
70.0,65.0,3.5,60.0,78.0,75.0,70.0
87.43753402401553,84.58228709730787,3.488416104663788,79.77908659853037,84.69609039350529,92.05668520129143,90.0
83.33048591620867,81.76060778967397,3.361331778797485,71.4521346588966,91.1097996566674,79.12888104061521,90.0
88.32298623989675,75.52253531490958,1.4261258064378968,72.39734866499386,70.65937602070994,85.38289589688776,90.0
74.82955639747365,71.91905780755599,1.6529973050144489,68.22168998065615,80.11047058179365,70.7132851858881,90.0
87.35816317567236,82.19483885305473,0.9458869873747608,77.91179317532222,86.64801556015396,68.61163985815226,90.0
86.27347679660838,80.68107457697232,3.442531131029707,70.99858960375678,80.71696930699851,82.49316288379592,90.0
72.58903889784902,65.00187422187115,0.7572121444024658,66.40029737125859,81.70004051201468,92.11850674129086,90.0
76.64976938819744,73.6029498052142,2.2296880380837436,76.08419752963746,75.66932526526604,72.48950015646072,90.0
81.94731699451407,75.2384638275717,1.3408157617684715,80.41380794264282,90.79983530316693,80.72132228461211,90.0
89.80651875385783,78.83019823897571,1.5339633308267038,79.77375917806843,87.50104877388199,83.15185812136258,90.0
73.81565893612452,80.47728120250417,1.1740124856271168,80.54859938861352,83.27257170154812,87.92076769191955,90.0
78.5933370247969,74.37019373082966,0.8396193526318003,79.52726501630426,81.62586609383125,90.38029692448814,90.0
72.07856542483147,78.34397824076363,3.349804427117518,67.64073981042911,87.29685221250719,70.80879632084208,90.0
79.18778588558494,79.57794892688212,1.7367860205466272,62.84104475742054,91.85142377838169,80.57661953854746,90.0
78.75681111912169,70.67964280327384,3.346984305146276,73.75458639497657,85.19660912445335,73.26794640707185,90.0
85.12575915516254,84.32300661579686,0.8537075495978838,74.37131450285324,87.77831387151447,79.10469201782423,90.0
69.627848738293,65.16818615519516,2.459506893219107,80.56619696616261,85.90069268680253,81.44869551623108,90.0
72.08349813232904,69.40169434702959,2.7935512244870964,70.2049871084026,71.3542155477393,89.61424696422189,90.0
87.80220705798965,83.97386001267077,2.1574976790075877,64.42962878788254,71.46534935083868,78.47770927591172,90.0
74.5464798931641,68.73861114729782,1.9816855872155061,74.08580317548021,80.07944864034357,69.00153119054748,90.0
87.70874752338662,70.49534897783951,1.1066402592515765,62.18838684965258,71.18017234947145,74.77404595579259,90.0
70.06574622960098,69.40080081709283,1.5218836551926618,80.08870203240426,81.17447006198205,82.73799723447428,90.0
73.3077463326574,73.89492807562398,2.006996183444003,66.95624992336752,71.28480251249269,83.16116660656627,90.0
76.61717010353026,76.6762274808354,0.9746547905523613,80.80042280598656,71.48537830338698,72.44592584511413,90.0
76.62765176895633,68.31451215565414,1.3775711725738171,81.62537666967478,91.26773784802097,87.83778437637659,90.0
70.51629978653239,66.55754993068544,1.1664583438364033,75.41092870921581,78.33925845434811,88.27752202636384,90.0
90.29672809989626,84.80682364281667,1.2661852865982315,67.51957964825819,81.28886724086908,86.30533391967862,90.0
76.56940265745845,65.41698074108342,1.5517439565547129,67.79531152287872,91.00830320111112,92.06426784198385,90.0
87.90300463341258,67.07681762266155,2.528159599893111,62.14093347146925,87.72721856794317,80.00103986503088,90.0
71.077843330751,71.04546590864823,0.9200575316972605,74.41094205312146,87.45954231714113,90.34255494494263,90.0
88.33734453736241,84.21082625427663,0.7378580327048483,64.8175618200643,71.11810119849989,86.22828467934556,90.0
73.67326852870113,67.36695130287562,0.8988470473341781,69.50007837460994,84.6674138032073,80.1190692594816,90.0
83.71112495961222,65.83192695665325,2.6611497491690925,63.115152096655855,79.49487753987641,70.90098787076053,90.0
86.71673955551344,69.96075049846759,0.7145902259731421,60.46810777919788,91.40804842137338,92.48736903166224,90.0
80.55349446797777,75.53227431521346,1.212195680758391,65.00605973624201,87.56999402010419,87.87131326872013,90.0
70.76133111996046,73.71193546163836,0.9461352439694091,79.29289323633652,85.08426326923662,91.74637089347365,90.0
72.27608995727363,84.15123534578234,3.0385622630645983,79.35926814878323,78.75741468803062,71.1798880142933,90.0
75.29006775825991,65.86506486025655,3.3581944165600524,68.38192433414002,72.24755303591598,86.90018628484293,90.0
